Blog	The Superficial - Because You're Ugly	Wonkette	Publishing 2.0	Eschaton	Blog Maverick	Mashable!	we make money not art	GigaOM	Joho the Blog	Neil Gaiman's Journal	Signal vs. Noise	lifehack.org	Hot Air	Online Marketing Report	Kotaku	Talking Points Memo: by Joshua Micah Marshall	John Battelle's Searchblog	43 Folders	Daily Kos	Deadspin	Go Fug Yourself	O'Reilly Radar	Andrew Sullivan | The Daily Dish	Lifehacker	Google Operating System	Valleywag	Gizmodo	ScienceBlogs : Combined Feed	Michelle Malkin	SimpleBits	Slashdot	Gothamist	BuzzMachine	Sifry's Alerts	Topix.net Weblog	The Viral Garden	Micro Persuasion	Cool Hunting	SpikedHumor	flagrantdisregard	Search Engine Watch Blog	Joystiq	Download Squad	Captain's Quarters	MAKE Magazine	Engadget	CoolerHeads Prevail	Power Line	Techdirt	Official Google Blog	The Blotter	Treehugger	Crooks and Liars	TMZ.com	Bloggers Blog: Blogging the Blogsphere	Schneier on Security	Search Engine Roundtable	Copyblogger	Think Progress	Scobleizer - Tech Geek Blogger	Shoemoney - Skills to pay the bills	Little Green Footballs	456 Berea Street	Signum sine tinnitu--by Guy Kawasaki	Pharyngula	TechEBlog	Creating Passionate Users	TechCrunch	Wired News: Top Stories	PaulStamatiou.com	Dave Shea's mezzoblue	Steve Pavlina's Personal Development Blog	NewsBusters.org - Exposing Liberal Media Bias	kottke.org	MetaFilter	ongoing	Oilman	Instapundit.com	Joi Ito's Web	A Consuming Experience (full feed)	Matt Cutts: Gadgets, Google, and SEO	The Unofficial Apple Weblog (TUAW)	Joel on Software	Boing Boing	Bloglines | News	Quick Online Tips	PerezHilton.com	Derek Powazek	Jeremy Zawodny's blog	"gapingvoid: ""cartoons drawn on the back of business cards"""	Autoblog	Google Blogoscoped	plasticbag.org	Gawker	Read/WriteWeb	WWdN: In Exile	ProBlogger Blog Tips	Seth's Blog	The Huffington Post | Raw Feed
had	6	25	1	1	24	0	21	1	4	28	8	0	0	0	13	1	1	0	6	25	0	1	1	2	1	5	1	8	1	0	0	22	0	9	0	16	1	1	1	0	0	1	3	2	7	3	0	1	3	4	0	0	0	0	7	2	1	0	1	2	2	17	8	0	2	0	1	1	0	10	0	3	7	12	0	0	1	2	3	10	3	3	4	2	0	2	2	1	10	0	8	1	11	7	6	0	2	0	32
address	0	0	0	0	2	0	3	0	1	0	2	0	0	0	0	0	1	0	0	0	0	1	1	3	10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	0	2	0	0	0	0	0	0	0	2	1	6	0	0	0	0
working	1	0	0	1	4	0	20	0	0	1	2	1	0	2	0	0	0	0	0	0	0	4	0	3	0	1	1	0	1	0	0	3	1	3	1	1	1	0	1	0	0	0	1	0	2	4	0	0	3	4	0	1	0	0	1	0	0	1	0	4	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	5	2	0	0	5	2	6	0	0	0	2	0	1	0	3	2	1	0	1	1	2
following	0	0	0	0	3	0	4	1	0	0	0	1	0	3	1	0	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	2	0	2	0	1	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	5	2	0	0	0	1
years	4	6	1	0	12	0	6	1	1	5	1	1	0	0	0	0	0	1	2	4	0	2	1	3	1	7	2	6	0	1	6	7	1	10	0	3	0	1	0	0	1	0	0	0	5	2	2	0	5	3	0	0	0	0	2	2	0	0	0	1	0	3	6	0	1	0	0	0	0	0	0	0	2	6	2	1	0	1	2	0	0	1	1	1	0	5	0	4	4	0	4	0	10	1	4	1	0	0	12
didn	3	12	0	0	1	0	2	2	0	1	2	0	0	0	1	0	0	0	3	4	0	0	2	1	2	6	2	2	1	0	1	5	1	0	0	4	0	0	0	1	0	0	1	0	2	3	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	6	4	0	0	0	0	0	0	1	0	0	3	11	0	0	0	0	1	1	1	2	4	0	0	0	0	0	1	0	1	0	0	5	1	0	0	0	5
internet	0	4	1	0	11	0	2	1	2	1	0	0	0	0	1	0	3	0	0	2	0	1	0	8	2	11	3	0	0	0	3	1	3	1	0	3	1	0	0	0	2	0	7	0	1	3	0	0	2	3	0	0	0	1	3	2	0	1	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	2	0	3	0	0	1	0	0	3	1	0	1	10	0	1	0	0	0	0	1	2	5	0	2	0	1
wants	0	2	0	1	8	1	0	1	0	4	1	0	0	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	2	0	0	0	1	1
photos	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	4	10	1	4	0	1	0	0	1	0	2	3	0	0	0	0	3	0	1	0	0	7	3	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	3	0	1	4	0	0	0	0	1	0	0	3	0	1	0	4	0	3	0	0	9	2	4	0	6	0	0	0	0
former	0	4	0	0	4	0	3	0	0	0	0	0	0	0	2	0	0	0	2	3	0	0	0	0	0	2	0	4	0	0	0	2	1	0	0	0	1	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	0	1	0	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	5	0	0	0	0	4
technology	0	0	4	0	5	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	2	7	1	0	0	0	0	0	0	2	2	1	1	0	0	0	1	0	1	0	0	3	0	0	1	2	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	1	1	1	1	1	0	0	1	0	0	2	3	0	1	0	0	5	0	7	0	12	0	0	0	0
being	4	3	0	1	9	2	7	1	0	8	3	1	0	0	2	2	2	0	5	8	0	0	2	4	2	8	1	5	0	0	3	4	1	9	1	7	0	2	2	0	0	4	1	0	2	4	2	0	4	3	0	1	0	1	0	0	0	1	1	1	0	3	2	1	0	1	0	0	0	1	2	2	5	5	1	3	0	0	4	1	0	3	3	5	0	3	1	0	2	0	3	0	6	6	3	0	0	1	9
traffic	0	0	0	0	13	0	0	0	1	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	7	0	1	0	0	0	1	0	1	1	12	0	0	0	0	3	0	1	0	0	3	0	0	0	2	0	0	0	0	0	0	0	6	0	4	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	4	1	0	0	0	0	3	0	2	0	0
small	0	1	2	0	3	1	4	1	0	4	2	1	0	0	1	0	0	0	1	1	0	3	0	5	8	1	1	1	0	1	1	2	0	0	0	1	1	1	2	0	0	1	1	1	3	3	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	2	0	0	1	2	2	0	0	1	2	0	0	1	0	0	3	6	0	1	5	0	2	0	2	4	5	0	1	0	3
past	1	1	0	0	2	1	1	0	0	1	0	1	0	0	1	0	2	2	2	0	0	1	1	2	2	2	2	6	0	1	0	5	0	4	0	1	0	1	0	0	0	1	1	1	1	1	1	0	3	1	0	0	0	0	3	0	1	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	4	9	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	3
full	1	3	0	0	6	0	0	1	0	2	6	1	0	0	6	1	0	1	1	0	0	3	0	3	3	2	2	3	0	0	1	3	0	5	1	2	1	55	2	0	0	1	2	0	3	4	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	1	10	0	0	0	0	1	0	3	0	0	2	2	0	0	0	1	1	0	0	2	3	0	0	51	1	1	5	0	4	0	4	2	2	0	4	0	0
november	0	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	1	0	0	2	0	0	0	3	2	0	1	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	1	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3
experience	1	0	0	0	8	0	7	0	0	1	3	0	0	0	0	0	0	0	0	0	0	4	0	5	2	0	0	0	0	0	2	1	0	1	0	9	0	0	0	0	1	2	3	0	0	0	1	0	0	2	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	5	0	0	0	0	2	10	0	0	3	0	0	3	0	1	2	1	2	1	3	1	3	0	0	0	1
door	1	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	3	0	8	0	2	3	0	0	0	0	0
company	0	0	1	0	21	1	3	2	0	1	3	3	0	1	7	0	2	0	0	0	0	1	0	2	3	22	6	0	0	0	4	5	0	3	0	9	1	0	1	0	0	3	3	1	1	4	0	0	17	3	0	4	0	0	6	0	0	0	0	5	1	0	0	1	0	0	0	6	1	2	0	0	1	0	0	0	0	0	2	0	1	4	0	0	0	1	0	0	0	0	5	1	0	1	11	0	0	0	10
learn	0	4	0	0	2	0	5	0	0	1	1	0	0	0	1	0	0	3	1	1	0	0	0	9	2	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	2	0	0	1	1	0	0	0	0
paper	0	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	5	5	1	8	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	1	1	5	0	1	0	0	3	4	0	0	0	2
research	0	2	0	0	5	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	3	0	1	0	4	0	0	2	1	0	2	0	0	1	0	0	0	2	0	1	0	1	2	0	0	2	1	1	0	0	0	3	0	1	2	2	0	0	0	1	0	1	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	3	0	3	0	3	0	0	0	0	2	1	1	1	1	0	0	0	1
sell	0	1	0	0	12	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	2	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
self	0	4	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	1	2	0	3	0	3	0	0	0	0
sometimes	0	0	0	1	2	0	8	0	0	1	3	0	0	0	1	0	0	0	0	1	0	1	0	2	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2
couple	0	3	0	1	6	0	1	0	0	5	1	1	0	0	3	0	0	1	1	1	0	0	0	1	0	0	2	1	0	0	0	0	0	4	0	2	0	1	1	0	0	0	1	0	1	2	1	0	1	0	0	1	0	1	0	1	0	0	0	1	0	1	3	0	0	1	1	2	0	0	2	0	0	1	0	4	0	0	0	0	0	1	2	1	0	0	0	2	2	0	2	0	0	2	0	0	1	0	0
video	1	3	5	0	35	3	4	2	1	0	4	0	12	0	10	0	2	2	0	7	0	6	0	11	18	12	6	0	2	0	7	1	3	4	0	5	4	1	7	0	1	14	22	0	11	8	1	0	2	4	0	5	10	3	14	0	0	0	0	11	0	3	0	1	0	9	0	1	1	7	0	0	1	1	2	1	0	0	14	6	0	0	1	8	3	12	1	0	0	1	11	1	1	5	4	0	0	1	14
makes	2	2	0	2	13	0	4	1	0	2	2	0	0	0	4	0	0	0	3	2	0	3	0	2	1	2	1	7	0	0	0	4	1	2	0	1	1	1	0	0	0	3	1	0	2	2	1	0	3	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	2	0	1	1	0	2	0	0	1	5	0	1	0	0	0	1	0	3	0	1	3	3	0	1	0	1
next	1	12	1	2	15	0	2	2	1	5	1	0	0	0	14	0	0	1	1	7	1	3	1	8	1	8	8	2	1	0	1	4	0	5	1	17	1	0	0	2	1	5	3	0	2	6	1	0	4	2	0	3	0	0	0	1	2	0	0	7	1	1	2	0	3	0	0	1	2	1	1	0	0	6	0	1	0	0	5	4	0	5	3	1	0	3	0	2	7	2	8	0	2	4	5	1	1	3	4
process	0	0	1	0	10	0	3	1	1	0	4	0	0	0	0	0	0	1	1	0	0	1	0	7	2	1	0	4	0	0	4	3	0	1	0	2	0	0	0	1	0	0	0	0	3	1	0	0	1	1	0	4	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	1	0	4	0	0	0	1
books	0	1	1	0	3	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	5	1	1	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	2	1	0	0	0	13	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	6	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	4	0	0	0	1
could	0	6	3	1	31	0	10	4	0	10	10	0	0	0	8	0	0	0	11	14	0	3	1	11	6	10	4	3	0	1	2	7	0	4	0	13	1	0	1	0	1	1	5	0	5	8	1	0	13	2	0	0	0	0	6	0	0	0	0	2	0	3	4	0	1	1	2	1	2	2	0	0	1	5	0	2	0	0	1	2	0	1	10	2	1	1	0	2	7	0	4	1	6	6	3	2	0	0	18
stuff	1	4	0	0	4	0	4	1	0	3	2	1	0	0	0	0	0	3	1	0	0	0	0	2	0	2	3	1	0	0	0	1	1	6	0	0	1	0	0	1	0	0	0	0	0	2	0	1	2	1	0	1	0	0	0	2	0	1	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	3	1	0	0	1	0	2	0	2	0	3	1	1	0	0	0	0
audio	0	0	0	0	7	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	0	6	0	1	1	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	4	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0
web	0	0	13	0	4	0	5	7	8	4	8	0	0	0	0	0	2	0	2	1	0	29	0	18	22	16	2	1	0	2	2	1	1	11	0	2	7	0	0	0	0	1	10	0	2	1	0	0	4	10	0	0	0	0	6	0	0	1	0	4	0	1	50	0	0	0	1	7	3	4	2	0	0	6	0	1	0	0	6	0	3	1	7	1	1	16	0	4	3	0	0	1	11	1	58	0	0	0	1
become	0	0	0	1	4	0	5	2	0	2	2	0	0	0	4	0	1	0	1	1	0	1	0	3	0	1	0	2	0	1	0	0	1	1	0	5	0	0	0	0	0	1	0	1	0	0	0	0	1	3	0	0	0	0	0	0	1	1	2	1	0	5	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	3	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	2	0	0	0	4
problem	0	0	1	0	7	0	3	0	1	1	1	0	0	0	2	0	0	2	1	0	0	0	0	4	0	2	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	7	0	0	0	0	0	0	1	1	0	0	3	0	1	5	0	0	0	1	0	0	2	0	1	0	4	0	0	0	2	0	0	0	0	4	0	1	0	0	1	3	1	3	0	1	0	2	0	0	0	4
details	0	2	0	0	3	0	0	0	0	0	1	0	0	0	3	0	1	0	0	0	0	0	0	4	4	2	0	2	0	1	0	3	0	2	0	1	0	0	0	0	0	1	0	0	1	3	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	2	0	0	5	0	0	1	1	0	0	2	0	7	0	0	0	1	0	0	0	1
worth	0	1	0	0	6	0	0	0	0	0	3	0	0	0	1	0	0	0	0	5	0	1	1	2	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	3	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	4	0	2	0	0	1	1	0	0	1	0	0	2	0	0	0	0	3	0	3	2	1	0	4	0	3
provide	0	0	0	2	6	1	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	1	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	2	0	1	0	1	1	1	0	0	0	2
feeds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	1	3	1	3	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	1	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0	0	0	1	0	0	0	0
another	0	7	0	0	12	0	12	0	3	5	2	0	0	1	3	2	0	1	2	4	0	3	2	3	4	5	3	4	0	0	1	10	0	9	0	8	0	0	3	2	0	6	2	3	2	2	0	0	2	2	0	1	0	0	0	0	0	2	1	2	0	4	0	0	3	0	0	0	0	2	1	0	3	6	0	2	0	1	0	3	0	0	3	1	1	2	0	1	5	2	3	2	5	4	9	0	3	0	7
john	0	2	0	2	0	0	5	0	0	15	0	0	0	0	0	0	0	0	3	6	0	0	3	0	0	1	2	3	0	1	0	2	2	0	0	2	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	3	4	0	1	0	0	4	0	0	2	2	7	0	1	2	0	1	0	1	0	0	4	8	1	0	0	0
away	1	7	0	0	11	0	1	0	0	7	1	1	0	0	0	0	0	0	0	6	0	3	1	1	0	4	0	1	1	0	2	3	2	1	0	3	0	1	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	2	0	0	0	1	2	1	0	0	0	6	0	1	0	0	1	2	0	0	0	3
hand	3	2	0	0	3	0	10	0	0	2	0	1	0	0	2	0	0	1	2	1	0	2	1	4	1	1	1	0	0	0	0	4	1	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	2	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	3	0	2	1	3	0	0	0	4
thanks	0	3	0	0	1	0	3	1	1	2	5	0	0	0	8	0	0	0	0	2	0	0	0	3	0	0	2	0	0	0	0	3	0	4	1	12	0	0	1	0	0	4	0	0	5	5	0	0	0	0	0	2	0	0	0	1	1	1	0	4	1	0	0	0	0	0	3	0	0	2	1	0	1	3	0	0	0	0	0	1	1	8	0	8	1	1	2	1	1	0	3	4	3	2	1	0	3	0	0
night	2	5	0	0	3	0	1	0	0	3	0	0	0	0	0	1	0	0	0	11	1	1	0	1	0	4	1	5	0	0	1	16	2	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	3	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	1	1	0	1	2	1	0	2	0	1	13	0	1	0	1	1
test	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	2	1	0	0	2	0	0	1	5	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	1	0	0	1	0	0	0	0
update	1	0	0	0	2	0	0	0	0	1	0	0	8	1	3	1	0	0	4	6	0	2	0	3	1	1	6	0	3	0	0	2	0	8	0	6	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	12	4	0	1	0	0	0	1	3	0	0	0	4	0	5	0	1	0	0	0	9	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0
